state,year,living_quarters_count,living_quarters_loss_rm000,vehicles_loss_rm000,business_premises_loss_rm000,manufacturing_loss_rm000,agriculture_loss_rm000,infrastructure_loss_rm000,total_loss_rm000,total_loss_rm_million
Malaysia,2024,8046946,372231.792,17298.248,54059.442,1163.091,185221.804,303379.648,933354.024,933.354
Malaysia,2025,8046946,183815.517,6832.679,13448.684,75.6,52559.126,380181.718,636913.324,636.913
Johor,2024,1017727,21280.371,2072.355,3433.854,0,2432.79,29748.447,58967.817,58.968
Johor,2025,1017727,26188.954,874.053,2143.389,0,13010.384,29842.577,72059.357,72.059
Kedah,2024,528228,54013.122,2094.91,4291.203,0,118210.03,15052.904,193662.169,193.662
Kedah,2025,528228,9773.938,416.705,1321.525,0,5039.94,20113.419,36665.527,36.666
Kelantan,2024,363251,139014.918,3984.364,27065.912,1091.271,43788.086,48088.789,263033.339,263.033
Kelantan,2025,363251,15617.65,497.972,898.765,0,4383.692,67139.932,88538.011,88.538
Melaka,2024,267074,1047.566,82.185,62.75,0,471.687,7248.726,8912.914,8.913
Melaka,2025,267074,728.772,44.312,21.8,0,512.298,12900.817,14207.999,14.208
Negeri Sembilan,2024,315497,2921.958,76.581,62.0,0,1209.919,16180.5,20450.957,20.451
Negeri Sembilan,2025,315497,839.962,40.092,30.444,0,2623.405,12902.0,16435.903,16.436
Pahang,2024,401534,10961.25,892.021,392.776,0,8807.069,16219.958,37273.074,37.273
Pahang,2025,401534,18775.599,702.163,1307.131,0,4288.764,19045.543,44119.201,44.119
Pulau Pinang,2024,495347,886.931,73.12,34.09,0,63.0,7660.992,8718.133,8.718
Pulau Pinang,2025,495347,848.674,60.563,10.41,0,2592.735,8741.967,12254.349,12.254
Perak,2024,672855,12172.22,720.238,636.62,0,312.341,43398.063,57239.482,57.239
Perak,2025,672855,15337.204,615.422,843.79,0,4479.075,15377.634,36653.125,36.653
Perlis,2024,80850,529.85,202.525,247.855,0,176.15,3988.056,5144.436,5.144
Perlis,2025,80850,5207.01,210.72,366.06,0,1221.972,22995.033,30000.795,30.001
Selangor,2024,1836410,6629.492,270.888,0,0,1887.481,13787.811,22575.671,22.576
Selangor,2025,1836410,15288.229,358.75,1048.984,0,9582.031,26585.289,52863.283,52.863
Terengganu,2024,282373,103127.905,5814.215,16426.932,71.82,6661.218,49854.793,181956.883,181.957
Terengganu,2025,282373,14946.569,430.351,858.13,75.6,1012.36,71849.38,89172.391,89.172
Sabah,2024,594163,17317.747,687.74,1237.45,0,683.627,16913.877,36840.44,36.84
Sabah,2025,594163,27709.334,1253.95,1822.816,0,3648.822,23982.416,58417.338,58.417
Sarawak,2024,618108,2198.573,192.216,168.0,0,518.406,24279.791,27356.986,27.357
Sarawak,2025,618108,32553.621,805.626,2685.941,0,163.648,25024.909,61233.745,61.234
W.P. Kuala Lumpur,2024,573529,61.023,124.892,0,0,0,7960.221,8146.136,8.146
W.P. Kuala Lumpur,2025,573529,0,522.0,89.5,0,0,20147.616,20759.116,20.759
W.P. Labuan,2024,0,68.866,0,0,0,0,2299.644,2368.51,2.369
W.P. Labuan,2025,0,0,0,0,0,0,2254.0,2254.0,2.254
W.P. Putrajaya,2024,0,0,10.0,0,0,0,697.077,707.077,0.707
W.P. Putrajaya,2025,0,0,0,0,0,0,1279.187,1279.187,1.279
