state,year,population_thousand,population
Johor,2025,4205.9,4205900
Kedah,2025,2228.0,2228000
Kelantan,2025,1907.7,1907700
Melaka,2025,1052.5,1052500
Negeri Sembilan,2025,1244.6,1244600
Pahang,2025,1678.2,1678200
Perak,2025,2574.9,2574900
Perlis,2025,297.8,297800
Pulau Pinang,2025,1803.3,1803300
Sabah,2025,3759.6,3759600
Sarawak,2025,2529.8,2529800
Selangor,2025,7406.8,7406800
Terengganu,2025,1246.9,1246900
W.P. Kuala Lumpur,2025,2074.1,2074100
W.P. Labuan,2025,100.9,100900
W.P. Putrajaya,2025,120.8,120800
