state,iso_code,region
Johor,MY-01,Southern Peninsula
Kedah,MY-02,Northern Peninsula
Kelantan,MY-03,East Coast
Melaka,MY-04,Southern Peninsula
Negeri Sembilan,MY-05,Central/Southern Peninsula
Pahang,MY-06,East Coast
Pulau Pinang,MY-07,Northern Peninsula
Perak,MY-08,Northern Peninsula
Perlis,MY-09,Northern Peninsula
Selangor,MY-10,Central Peninsula
Terengganu,MY-11,East Coast
Sabah,MY-12,Borneo
Sarawak,MY-13,Borneo
W.P. Kuala Lumpur,MY-14,Central Peninsula
W.P. Labuan,MY-15,Borneo
W.P. Putrajaya,MY-16,Central Peninsula
