state,year,annual_rainfall_mm
Selangor,2013,2086.5
Selangor,2014,2096.8
Selangor,2015,2233.6
Selangor,2016,1988.0
Selangor,2017,2185.4
Selangor,2013-2017 average,2118.1
Pahang,2013,2326.8
Pahang,2014,1981.3
Pahang,2015,1591.2
Pahang,2016,1589.3
Pahang,2017,2632.6
Pahang,2013-2017 average,2024.3
Terengganu,2013,4072.3
Terengganu,2014,3670.5
Terengganu,2015,2425.1
Terengganu,2016,3094.7
Terengganu,2017,4383.0
Terengganu,2013-2017 average,3529.1
Johor,2013,2233.1
Johor,2014,1951.4
Johor,2015,1734.8
Johor,2016,1738.7
Johor,2017,2277.8
Johor,2013-2017 average,1987.2
Kelantan,2013,2913.7
Kelantan,2014,3297.9
Kelantan,2015,2109.2
Kelantan,2016,2365.8
Kelantan,2017,3685.2
Kelantan,2013-2017 average,2874.3
Kedah,2013,2295.1
Kedah,2014,2399.8
Kedah,2015,2597.5
Kedah,2016,2202.5
Kedah,2017,2782.5
Kedah,2013-2017 average,2455.5
Negeri Sembilan,2013,1675.1
Negeri Sembilan,2014,1541.8
Negeri Sembilan,2015,1568.0
Negeri Sembilan,2016,1513.9
Negeri Sembilan,2017,2210.7
Negeri Sembilan,2013-2017 average,1701.9
Perak,2013,2335.8
Perak,2014,2415.2
Perak,2015,2627.1
Perak,2016,1614.6
Perak,2017,2145.1
Perak,2013-2017 average,2227.6
Pulau Pinang,2013,2519.1
Pulau Pinang,2014,2390.0
Pulau Pinang,2015,2453.1
Pulau Pinang,2016,2493.4
Pulau Pinang,2017,2642.2
Pulau Pinang,2013-2017 average,2499.6
W.P. Kuala Lumpur,2013,2949.5
W.P. Kuala Lumpur,2014,2856.0
W.P. Kuala Lumpur,2015,2843.2
W.P. Kuala Lumpur,2016,2303.0
W.P. Kuala Lumpur,2017,3018.0
W.P. Kuala Lumpur,2013-2017 average,2793.9
Melaka,2013,1507.5
Melaka,2014,1749.3
Melaka,2015,1679.4
Melaka,2016,1721.7
Melaka,2017,2155.7
Melaka,2013-2017 average,1762.7
Perlis,2013,1587.9
Perlis,2014,1792.7
Perlis,2015,1974.3
Perlis,2016,1480.1
Perlis,2017,2311.5
Perlis,2013-2017 average,1829.3
Sabah,2013,2846.1
Sabah,2014,2718.3
Sabah,2015,2152.5
Sabah,2016,2288.3
Sabah,2017,3017.0
Sabah,2013-2017 average,2604.4
Sarawak,2013,3541.0
Sarawak,2014,2932.6
Sarawak,2015,3430.4
Sarawak,2016,3400.8
Sarawak,2017,3726.7
Sarawak,2013-2017 average,3406.3
