state,iso_code,region,longitude,latitude
Selangor,MY-10,Central Peninsula,101.3543,3.34046
Johor,MY-01,Southern Peninsula,103.79222,1.85149
W.P. Kuala Lumpur,MY-14,Central Peninsula,101.6836,3.14127
Melaka,MY-04,Southern Peninsula,102.22815,2.2684
Negeri Sembilan,MY-05,Central/Southern Peninsula,101.97281,2.67996
Sabah,MY-12,Borneo,117.12864,6.06722
Sarawak,MY-13,Borneo,112.9494,2.34162
Kelantan,MY-03,East Coast,101.94328,5.62901
W.P. Putrajaya,MY-16,Central Peninsula,101.68252,2.92974
Terengganu,MY-11,East Coast,103.04319,5.39551
Pahang,MY-06,East Coast,102.64069,3.74148
Kedah,MY-02,Northern Peninsula,100.33319,6.12763
Perlis,MY-09,Northern Peninsula,100.22078,6.58582
Perak,MY-08,Northern Peninsula,100.92219,4.71148
Pulau Pinang,MY-07,Northern Peninsula,100.28819,5.3736
W.P. Labuan,MY-15,Borneo,115.2317,5.2836
